,Instrumento,Convenente,Nº OBT,Valor OBT,Data Emissão,CPF/CNPJ,Fornecedor,Tipo DL,Descrição do Item,Data Pagamento,Situação OBT,CPF/CNPJ STR,CNPJ BÁSICO,CNPJ ORDEM,CNPJ DV,IDENTIFICADOR MATRIZ/FILIAL,NOME FANTASIA_x,CNAE FISCAL PRINCIPAL_x,CNAE FISCAL SECUNDÁRIA_x,TIPO DE LOGRADOURO_x,LOGRADOURO_x,NÚMERO_x,COMPLEMENTO_x,BAIRRO_x,CEP_x,MUNICÍPIO_x,CNPJ,codigo,municipio,Nome do município,Região de Planejamento,Municipio_upp,Nome_x,Situação_x,Filiação_x,Data de Validade_x,Data Cadastro_x,Data Alteracao_x,Nº de Socios_x,Nº de Sócios Válidos_x,Sócios com CAF(%)_x,Nome_y,Município,Situação_y,Filiação_y,Data de Validade_y,Data Cadastro_y,Data Alteracao_y,Nº de Socios_y,Nº de Sócios Válidos_y,Sócios com CAF(%)_y,NOME FANTASIA_y,CNAE FISCAL PRINCIPAL_y,CNAE FISCAL SECUNDÁRIA_y,TIPO DE LOGRADOURO_y,LOGRADOURO_y,NÚMERO_y,COMPLEMENTO_y,BAIRRO_y,CEP_y,MUNICÍPIO_y,endereco_completo,Latitude,Longitude
0,1284515,ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS,"2,02406E+16",3048.5,"45456,70192",15565679000133,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA,Nota Fiscal,"Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios)
",45457,Efetivada,15565679000133,15565679,1,33,1,COOPAC,4633801,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000,1357,15565679000133,1357,CAPISTRANO,Capistrano,Maciço de Baturité,CAPISTRANO,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63.0,"97,78",COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Capistrano,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63,"97,78",COOPAC,4633801.0,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000.0,1357.0,"COMUNIDADE CARQUEIJA II, S/N, ZONA RURAL Capistrano-CE","-4,468156","-38,9462337"
1,1284515,ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS,"2,02406E+16",1219.4,"45456,70816",15565679000133,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA,Nota Fiscal,"Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios)
",45457,Efetivada,15565679000133,15565679,1,33,1,COOPAC,4633801,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000,1357,15565679000133,1357,CAPISTRANO,Capistrano,Maciço de Baturité,CAPISTRANO,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63.0,"97,78",COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Capistrano,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63,"97,78",COOPAC,4633801.0,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000.0,1357.0,"COMUNIDADE CARQUEIJA II, S/N, ZONA RURAL Capistrano-CE","-4,468156","-38,9462337"
2,1284515,ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS,"2,02406E+16",609.7,"45456,71236",15565679000133,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA,Nota Fiscal,"Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios)
",45457,Efetivada,15565679000133,15565679,1,33,1,COOPAC,4633801,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000,1357,15565679000133,1357,CAPISTRANO,Capistrano,Maciço de Baturité,CAPISTRANO,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63.0,"97,78",COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Capistrano,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63,"97,78",COOPAC,4633801.0,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000.0,1357.0,"COMUNIDADE CARQUEIJA II, S/N, ZONA RURAL Capistrano-CE","-4,468156","-38,9462337"
3,1284515,ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS,"2,02406E+16",3048.5,"45457,3695",15565679000133,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA,Nota Fiscal,"Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios)
",45460,Efetivada,15565679000133,15565679,1,33,1,COOPAC,4633801,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000,1357,15565679000133,1357,CAPISTRANO,Capistrano,Maciço de Baturité,CAPISTRANO,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63.0,"97,78",COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Capistrano,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63,"97,78",COOPAC,4633801.0,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000.0,1357.0,"COMUNIDADE CARQUEIJA II, S/N, ZONA RURAL Capistrano-CE","-4,468156","-38,9462337"
4,1284515,ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS,"2,02406E+16",609.7,"45457,37494",15565679000133,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA,Nota Fiscal,"Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios)
",45460,Efetivada,15565679000133,15565679,1,33,1,COOPAC,4633801,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000,1357,15565679000133,1357,CAPISTRANO,Capistrano,Maciço de Baturité,CAPISTRANO,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63.0,"97,78",COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Capistrano,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63,"97,78",COOPAC,4633801.0,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000.0,1357.0,"COMUNIDADE CARQUEIJA II, S/N, ZONA RURAL Capistrano-CE","-4,468156","-38,9462337"
5,1284515,ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS,"2,02406E+16",609.7,"45460,58373",15565679000133,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA,Nota Fiscal,"Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios)
",45461,Efetivada,15565679000133,15565679,1,33,1,COOPAC,4633801,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000,1357,15565679000133,1357,CAPISTRANO,Capistrano,Maciço de Baturité,CAPISTRANO,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63.0,"97,78",COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Capistrano,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63,"97,78",COOPAC,4633801.0,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000.0,1357.0,"COMUNIDADE CARQUEIJA II, S/N, ZONA RURAL Capistrano-CE","-4,468156","-38,9462337"
6,1284515,ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS,"2,02407E+16",3048.5,"45484,44773",15565679000133,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA,Nota Fiscal,"Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios)
",45485,Efetivada,15565679000133,15565679,1,33,1,COOPAC,4633801,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000,1357,15565679000133,1357,CAPISTRANO,Capistrano,Maciço de Baturité,CAPISTRANO,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63.0,"97,78",COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Capistrano,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63,"97,78",COOPAC,4633801.0,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000.0,1357.0,"COMUNIDADE CARQUEIJA II, S/N, ZONA RURAL Capistrano-CE","-4,468156","-38,9462337"
7,1284515,ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS,"2,02407E+16",609.7,"45484,45098",15565679000133,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA,Nota Fiscal,"Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios)
",45485,Efetivada,15565679000133,15565679,1,33,1,COOPAC,4633801,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000,1357,15565679000133,1357,CAPISTRANO,Capistrano,Maciço de Baturité,CAPISTRANO,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63.0,"97,78",COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Capistrano,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63,"97,78",COOPAC,4633801.0,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000.0,1357.0,"COMUNIDADE CARQUEIJA II, S/N, ZONA RURAL Capistrano-CE","-4,468156","-38,9462337"
8,1284515,ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS,"2,02407E+16",1219.4,"45484,45404",15565679000133,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA,Nota Fiscal,"Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios)
",45485,Efetivada,15565679000133,15565679,1,33,1,COOPAC,4633801,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000,1357,15565679000133,1357,CAPISTRANO,Capistrano,Maciço de Baturité,CAPISTRANO,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63.0,"97,78",COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Capistrano,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63,"97,78",COOPAC,4633801.0,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000.0,1357.0,"COMUNIDADE CARQUEIJA II, S/N, ZONA RURAL Capistrano-CE","-4,468156","-38,9462337"
9,1284515,ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS,"2,02407E+16",3048.5,"45488,67757",15565679000133,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA,Nota Fiscal,"Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios)
",45489,Efetivada,15565679000133,15565679,1,33,1,COOPAC,4633801,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000,1357,15565679000133,1357,CAPISTRANO,Capistrano,Maciço de Baturité,CAPISTRANO,COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63.0,"97,78",COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO,Capistrano,Aberto apenas para Atualização de Informações,OCB,,21/06/2014 12:35:55,13/03/2025 09:06:29,135.0,63,"97,78",COOPAC,4633801.0,"4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103",COMUNIDADE,CARQUEIJA II,S/N,,ZONA RURAL,62748000.0,1357.0,"COMUNIDADE CARQUEIJA II, S/N, ZONA RURAL Capistrano-CE","-4,468156","-38,9462337"
